group,item,sentence,lexicon,quantifier,noun,condition,imga,imgb
NA,1,The girl found much moss at the beach.,NA,NA,NA,NA,img1.png,img2.png
NA,2,The Empire State Building was taller than the Chrysler in New York.,NA,NA,NA,NA,img3.png,img4.png
NA,3,The old lady collected much cactus at the forest.,NA,NA,NA,NA,img1.png,img2.png
NA,4,The pilot made the same amount of travels as the driver.,NA,NA,NA,NA,img3.png,img4.png
NA,5,The mailman petted many dogs at the house.,NA,NA,NA,NA,img1.png,img2.png
NA,6,The banker had the same amount of money as the Russian Government.,NA,NA,NA,NA,img3.png,img4.png
NA,7,The teacher read many books at the library.,NA,NA,NA,NA,img1.png,img2.png
NA,8,The cooker ate the same amount of food that she cooked.,NA,NA,NA,NA,img3.png,img4.png
